### Footprint positions - created on 2026-03-22T18:02:29+0100 ###
### Printed by KiCad version 9.0.8-9.0.8~ubuntu24.04.1
## Unit = inches, Angle = deg.
## Side : All
# Ref     Val            Package                                              PosX       PosY       Rot  Side
D2        KPTD-3216SECK  LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm     3.8573    -2.1353  -90.0000  bottom
D3        KPTD-3216SECK  LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm     3.8583    -3.0512  -90.0000  bottom
Q1        BC846          SOT-23                                             3.8770    -2.5906  -90.0000  bottom
Q2        BC846          SOT-23                                             3.8868    -4.0527  -90.0000  bottom
R1        22K            R_0603_1608Metric                                  3.8770    -2.7087  180.0000  bottom
R2        270R           R_0603_1608Metric                                  3.8770    -2.2953  180.0000  bottom
R3        270R           R_0603_1608Metric                                  3.8848    -3.7598  180.0000  bottom
R4        22K            R_0603_1608Metric                                  3.8848    -4.1732  180.0000  bottom
U1        TL431DBZ       SOT-23                                             3.8770    -2.4134  -90.0000  bottom
U2        TL431DBZ       SOT-23                                             3.8848    -3.8780  -90.0000  bottom
D1        HS1J           D_SMA                                              4.7244    -2.1260  180.0000  top
F1        3557-2         Fuse_Holder_Littelfuse_ATOF_287                    4.1142    -2.5000  -90.0000  top
J1        MKDS_3-2_5.08  MKDS_3_2_508                                       4.1929    -1.8307  -90.0000  top
J2        MKDS_3-2_5.08  MKDS_3_2_508                                       4.7441    -1.8307   90.0000  top
J3        MKDS_3-3_5.08  MKDS_3_3_508                                       4.2717    -4.0748    0.0000  top
J4        MKDS_3-2_5.08  MKDS_3_2_508                                       4.8622    -4.0748    0.0000  top
K1        G2RL-1-E       Relay_SPDT_Omron_G2RL-1-E                          4.5595    -2.3017    0.0000  top
SW1       L101011MS02Q   L10101_Schiebeschalter                             4.1874    -3.3622  -90.0000  top
## End
