### Footprint positions - created on 2026-04-01T14:30:03 ###
### Printed by KiCad version 10.0.0-10.0.0~ubuntu24.04.1
## Unit = mm, Angle = deg.
## Side : All
# Ref     Val            Package                                              PosX       PosY       Rot  Side
D2        KPTD-3216ZGCK  LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm     3.4750    59.7625  -90.0000  bottom
D3        KPTD-3216ZGCK  LED_1206_3216Metric_ReverseMount_Hole1.8x2.4mm     3.5000    36.5000  -90.0000  bottom
D4        SMAJ30A        D_SMA                                             16.5000    67.5000   90.0000  bottom
D5        HS1J           D_SMA                                              9.0000     5.0000  -90.0000  bottom
D6        HS1J           D_SMA                                             14.0000     5.0000  -90.0000  bottom
Q1        BC846          SOT-23                                             3.9750    48.2000  -90.0000  bottom
Q2        BC846          SOT-23                                             4.2250    11.0625  -90.0000  bottom
R1        22K            R_0603_1608Metric                                  3.9750    45.2000  180.0000  bottom
R2        270R           R_0603_1608Metric                                  3.9750    55.7000  180.0000  bottom
R3        270R           R_0603_1608Metric                                  4.1750    18.5000  180.0000  bottom
R4        22K            R_0603_1608Metric                                  4.1750     8.0000  180.0000  bottom
R5        100K           R_0603_1608Metric                                 32.0000    55.5000    0.0000  bottom
U1        TL431DBZ       SOT-23                                             3.9750    52.7000  -90.0000  bottom
U2        TL431DBZ       SOT-23                                             4.1750    15.5000  -90.0000  bottom
D1        HS1J           D_SMA                                             25.5000    60.0000  180.0000  top
F1        3557-2         Fuse_Holder_Littelfuse_ATOF_287                   10.0000    50.5000  -90.0000  top
J1        MKDS_3-2_5.08  MKDS_3_2_508                                      12.0000    67.5000  -90.0000  top
J2        MKDS_3-2_5.08  MKDS_3_2_508                                      26.0000    67.5000   90.0000  top
J3        MKDS_3-3_5.08  MKDS_3_3_508                                      14.0000    10.5000    0.0000  top
J4        MKDS_3-2_5.08  MKDS_3_2_508                                      29.0000    10.5000    0.0000  top
K1        G2RL-1-E       Relay_SPDT_Omron_G2RL-1-E                         21.3125    55.5375    0.0000  top
SW1       L101011MS02Q   L10101_Schiebeschalter                            11.8600    28.6000  -90.0000  top
## End
